disease,source_name,source_url,fetch_status,fetched_at,heading,text
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Key facts,Cholera is a severe diarrheal disease that can be fatal within hours if not treated. Quick access to treatment is crucial.
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Key facts,"Most people with cholera have no or mild symptoms and can be treated with oral rehydration solution. Severe cases need intravenous fluids, oral rehydration solution and antibiotics."
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Key facts,The oral cholera vaccine (OCV) can help prevent and control cholera.
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Overview,"Cholera is an acute diarrheal infection caused by consuming food or water contaminated with the bacterium Vibrio cholerae . It is a global public health threat and indicates inequity and lack of social and economic development. Access to safe water, basic sanitation and hygiene is essential to prevent cholera and other waterborne diseases."
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Overview,"Most people with cholera have mild or moderate diarrhoea and can be treated with oral rehydration solution (ORS). However, the disease can progress rapidly, so starting treatment quickly is vital to save lives. Patients with severe disease need intravenous fluids, ORS and antibiotics."
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Symptoms,"Cholera can cause severe acute watery diarrhoea, which can be fatal within hours if untreated. Most people infected with V. cholerae do not develop symptoms but can spread the bacteria through their faeces for 1–10 days. Symptoms appear 12 hours to 5 days after infection (2) ."
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Symptoms,Most people with the disease have mild or moderate symptoms. A minority of patients develop severe acute watery diarrhoea and life-threatening dehydration.
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Prevention and control,"Preventing and controlling cholera involves a combination of strengthening surveillance, improving water, sanitation and hygiene, increasing risk communication and community engagement, improving access to quality treatment and implementing oral cholera vaccine campaigns."
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Treatment,Cholera is an easily treatable disease. Most people can be treated successfully with prompt ORS administration. Severely dehydrated patients are at risk of dying from dehydration and need rapid intravenous fluids. They also receive oral rehydration solution and antibiotics. Patients with underlying conditions or comorbidities may require additional care in specific treatment centres. The case fatality rate in treatment centres should remain below 1%.
cholera,WHO Cholera Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/cholera,ok,2026-09-19T01:39:17.397146+00:00,Treatment,"Community access to ORS is essential during a cholera outbreak. Mass administration of antibiotics to prevent cholera (chemoprophylaxis) is not recommended, as it has no proven effect on the spread of cholera and may contribute to antimicrobial resistance."
