row_id,text,disease,provenance,derived_from,group_id,symptom_terms,source_name,source_url,source_section,source_quote,source_fetched_at,source_note
cholera-para-001,"my child has feeling dehydrated, a racing heartbeat, a dry mouth, throwing up, diarrhea and low blood pressure",cholera,paraphrase,cholera-src-002,cholera-src-002,dehydration|diarrhea|dry mouth|fast heart rate|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-src-002. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-002,"came in complaining of a dry mouth, low blood pressure, dehydration and a racing heartbeat",cholera,paraphrase,cholera-comb-001,cholera-comb-001,dehydration|dry mouth|fast heart rate|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-001. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-003,"i have had low blood pressure, a fast heart rate and vomiting for the last few days",cholera,paraphrase,cholera-comb-002,cholera-comb-002,fast heart rate|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-002. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-004,"she has had vomiting, cramps and feeling irritable since yesterday",cholera,paraphrase,cholera-comb-003,cholera-comb-003,irritability|muscle cramps|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-003. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-005,"he has a dry mouth, feeling dehydrated, loose stools and low blood pressure",cholera,paraphrase,cholera-comb-004,cholera-comb-004,dehydration|diarrhea|dry mouth|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-004. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-006,"i am experiencing diarrhea, being sick and a racing heartbeat",cholera,paraphrase,cholera-comb-005,cholera-comb-005,diarrhea|fast heart rate|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-005. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-007,"irritability, loose stools and throwing up for the past two days",cholera,paraphrase,cholera-comb-006,cholera-comb-006,diarrhea|irritability|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-006. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-008,"i have had dehydration, a dry mouth, low blood pressure, vomiting and diarrhea since yesterday",cholera,paraphrase,cholera-comb-007,cholera-comb-007,dehydration|diarrhea|dry mouth|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-007. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-009,"low blood pressure, a fast heart rate, a dry mouth and loose stools for the last few days",cholera,paraphrase,cholera-comb-008,cholera-comb-008,diarrhea|dry mouth|fast heart rate|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-008. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-010,"patient reports low blood pressure, a fast heart rate, dehydration, a dry mouth and loose stools",cholera,paraphrase,cholera-comb-009,cholera-comb-009,dehydration|diarrhea|dry mouth|fast heart rate|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-009. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
